STOPID,SegID,Direction
405820_4423860,0006_141.0,EB
413440_4422760,0006_146.9,EB
418340_4422860,0006_149.9,EB
419420_4422880,0006_150.6,EB
422600_4422880,0006_152.6,EB
423100_4422920,0006_152.9,EB
427200_4424880,0006_155.8,EB
427440_4425120,0006_155.9,EB
429280_4426120,0006_157.3,EB
429640_4426300,0006_157.6,EB
431000_4426160,0006_158.5,EB
431640_4425740,0006_158.9,EB
432140_4425400,0006_159.3,EB
432580_4425340,0006_159.6,EB
432940_4425340,0006_159.8,EB
433660_4425340,0006_160.3,EB
444680_4442160,0006_173.4,EB
445160_4441640,0006_173.7,EB
445460_4441320,0006_174.0,EB
445840_4440720,0006_174.4,EB
446160_4440120,0006_174.9,EB
447080_4439460,0006_175.6,EB
447800_4438960,0006_176.1,EB
448980_4438120,0006_177.0,EB
449240_4437940,0006_177.2,EB
449460_4437480,0006_177.5,EB
449920_4437040,0006_177.9,EB
450780_4435880,0006_178.8,EB
453340_4432820,0006_181.6,EB
456880_4431080,0006_184.1,EB
459980_4427360,0006_187.5,EB
470920_4425000,0006_194.8,EB
482980_4420640,0006_203.6,EB
494000_4419460,0006_211.2,EB
497720_4412440,0006_216.2,EB
504320_4408300,0006_221.1,EB
415160_4593280,0013_000.0,EB
415200_4594320,0013_000.6,EB
415220_4595440,0013_001.3,EB
415240_4595920,0013_001.6,EB
415240_4596200,0013_001.8,EB
415280_4597300,0013_002.5,EB
414680_4598060,0013_002.9,EB
412180_4598440,0013_003.3,EB
411080_4598740,0013_004.9,EB
409620_4599300,0013_005.6,EB
430740_4421380,0015_241.6,EB
431440_4422560,0015_242.4,EB
434060_4425340,0015_244.8,EB
434920_4428560,0015_246.9,EB
435420_4431520,0015_248.8,EB
437520_4434140,0015_250.9,EB
438280_4435160,0015_251.6,EB
439000_4436100,0015_252.5,EB
440140_4437440,0015_253.6,EB
442560_4440260,0015_255.9,EB
444220_4441820,0015_257.3,EB
444680_4442160,0015_257.6,EB
444920_4444000,0015_258.8,EB
444940_4445860,0015_260.0,EB
443920_4451060,0015_261.8,EB
443200_4452160,0015_263.4,EB
441720_4453980,0015_264.2,EB
440900_4455180,0015_265.6,EB
440840_4455900,0015_266.5,EB
439940_4457020,0015_267.0,EB
438900_4458560,0015_267.9,EB
438420_4459360,0015_269.0,EB
438340_4460960,0015_269.6,EB
438320_4462580,0015_270.6,EB
437860_4464200,0015_271.6,EB
435420_4466280,0015_272.7,EB
434740_4466880,0015_274.7,EB
433300_4468100,0015_275.3,EB
430500_4469920,0015_276.4,EB
429260_4471180,0015_278.5,EB
426320_4474020,0015_279.6,EB
425120_4475200,0015_282.2,EB
424460_4476020,0015_283.3,EB
423200_4477480,0015_283.9,EB
422800_4477860,0015_285.1,EB
422560_4478380,0015_285.5,EB
422560_4478380,0015_285.8,EB
422700_4479940,0015_286.8,EB
423820_4481860,0015_288.2,EB
424500_4484120,0015_289.8,EB
424240_4488560,0015_291.4,EB
423960_4490180,0015_292.6,EB
423820_4493420,0015_293.0,EB
423840_4492600,0015_293.6,EB
423540_4497060,0015_295.6,EB
423500_4498760,0015_297.9,EB
423500_4498760,0015_299.0,EB
423780_4500820,0015_300.3,EB
423720_4504380,0015_301.7,EB
423720_4504380,0015_302.5,EB
423620_4507900,0015_303.4,EB
423620_4507900,0015_304.7,EB
423640_4508680,0015_305.2,EB
423480_4511100,0015_305.9,EB
423140_4511620,0015_306.3,EB
423000_4512120,0015_307.2,EB
422840_4512580,0015_307.5,EB
422840_4512580,0015_307.6,EB
422900_4512980,0015_307.8,EB
423080_4513520,0015_308.4,EB
422640_4516360,0015_309.3,EB
422060_4518040,0015_310.2,EB
422060_4518040,0015_311.4,EB
422380_4518740,0015_311.8,EB
422820_4520740,0015_313.7,EB
423980_4523780,0015_315.3,EB
424480_4526300,0015_316.9,EB
424540_4527360,0015_317.6,EB
424940_4528440,0015_318.3,EB
425000_4530420,0015_319.5,EB
425020_4534460,0015_321.0,EB
424240_4537660,0015_322.0,EB
423820_4538000,0015_323.8,EB
422380_4539200,0015_324.4,EB
420260_4543420,0015_325.6,EB
419280_4545420,0015_328.7,EB
417960_4547420,0015_330.1,EB
416800_4549140,0015_331.6,EB
415700_4550740,0015_332.9,EB
414080_4552980,0015_334.1,EB
413960_4554800,0015_335.8,EB
413960_4554800,0015_337.0,EB
414180_4557220,0015_338.5,EB
414480_4558240,0015_339.1,EB
415300_4559880,0015_340.3,EB
415760_4563620,0015_342.0,EB
415160_4564640,0015_343.1,EB
414880_4566420,0015_343.9,EB
414040_4569080,0015_345.0,EB
414040_4569080,0015_346.7,EB
413240_4577140,0015_349.4,EB
412040_4586140,0015_351.9,EB
412040_4586140,0015_357.6,EB
411540_4595900,0015_362.0,EB
411080_4598740,0015_363.7,EB
410700_4602900,0015_365.5,EB
413920_4557840,0026_000.0,EB
414200_4558040,0026_000.2,EB
414480_4558240,0026_000.4,EB
414800_4558440,0026_000.7,EB
415280_4558660,0026_001.0,EB
415800_4558900,0026_001.3,EB
416480_4559220,0026_001.8,EB
417560_4560180,0026_002.7,EB
417880_4560600,0026_003.0,EB
418020_4560760,0026_003.2,EB
418100_4560860,0026_003.3,EB
418360_4561180,0026_003.5,EB
412280_4554820,0037_000.0,EB
411480_4554820,0037_001.0,EB
410660_4554820,0037_001.5,EB
409040_4554860,0037_002.0,EB
408280_4554860,0037_003.0,EB
407320_4554880,0037_003.5,EB
406640_4554880,0037_004.1,EB
405780_4555900,0037_004.5,EB
405780_4555900,0037_005.7,EB
405780_4556740,0037_006.2,EB
405800_4557560,0037_006.7,EB
405820_4558400,0037_007.2,EB
406700_4560520,0037_009.0,EB
407600_4560520,0037_009.6,EB
408340_4560520,0037_010.0,EB
409140_4560500,0037_010.5,EB
410740_4560480,0037_011.5,EB
415280_4597900,0038_000.0,EB
414100_4602860,0038_000.5,EB
411280_4607440,0038_003.2,EB
408460_4566640,0039_000.0,EB
409240_4566460,0039_000.5,EB
410880_4566420,0039_001.5,EB
412280_4566420,0039_002.4,EB
414080_4566460,0039_003.5,EB
414880_4566420,0039_004.0,EB
415420_4566400,0039_004.3,EB
416680_4566360,0039_005.1,EB
418040_4566340,0039_006.0,EB
418240_4566340,0039_006.1,EB
418500_4566340,0039_006.2,EB
418720_4566320,0039_006.4,EB
420120_4566300,0039_007.3,EB
420780_4566040,0039_007.7,EB
421080_4565900,0039_007.9,EB
422180_4565460,0039_008.7,EB
417380_4495860,0048_000.0,EB
418160_4495860,0048_000.5,EB
418980_4495860,0048_001.0,EB
419800_4495840,0048_001.5,EB
420600_4497440,0048_002.0,EB
421420_4497440,0048_002.5,EB
422660_4497140,0048_003.3,EB
423020_4497080,0048_003.5,EB
423540_4497060,0048_003.9,EB
423880_4497040,0048_004.1,EB
424160_4497020,0048_004.2,EB
445880_4440740,0051_000.0,EB
446340_4441540,0051_000.6,EB
446740_4442100,0051_001.0,EB
447140_4442680,0051_001.6,EB
447920_4444000,0051_002.4,EB
437580_4462640,0052_000.0,EB
438320_4462620,0052_000.5,EB
438580_4462620,0052_000.6,EB
439240_4462640,0052_001.0,EB
440060_4462640,0052_001.5,EB
440400_4462620,0052_001.8,EB
440880_4462620,0052_002.1,EB
441700_4462620,0052_002.6,EB
442500_4462600,0052_003.1,EB
443500_4462600,0052_003.7,EB
415760_4563620,0053_000.1,EB
417020_4563980,0053_000.9,EB
417960_4563960,0053_001.5,EB
418200_4563960,0053_001.7,EB
418420_4563940,0053_001.8,EB
415480_4557700,0060_000.0,EB
415480_4557700,0060_000.8,EB
418620_4554720,0060_003.7,EB
419500_4554280,0060_004.4,EB
423780_4553380,0060_007.4,EB
439740_4511420,0065_000.1,EB
440940_4514380,0065_002.4,EB
420140_4520060,0067_000.0,EB
420540_4521580,0067_001.0,EB
421040_4526300,0067_004.0,EB
421040_4526300,0067_004.1,EB
424240_4530440,0067_007.3,EB
424240_4537660,0067_010.1,EB
418260_4437480,0068_000.0,EB
418260_4437480,0068_009.1,EB
419100_4443220,0068_012.8,EB
422500_4448600,0068_017.2,EB
425920_4459280,0068_023.7,EB
425660_4459840,0068_024.7,EB
425420_4460280,0068_025.0,EB
424700_4461960,0068_025.4,EB
424300_4462560,0068_026.5,EB
423980_4463180,0068_026.9,EB
423080_4464340,0068_027.4,EB
422220_4465580,0068_028.3,EB
422180_4466380,0068_029.3,EB
422180_4466380,0068_029.7,EB
422180_4467540,0068_030.5,EB
422200_4468340,0068_031.0,EB
422200_4469160,0068_031.5,EB
422200_4469540,0068_031.7,EB
422220_4470260,0068_032.2,EB
422220_4470660,0068_032.4,EB
422100_4472000,0068_032.7,EB
422000_4472500,0068_033.3,EB
421840_4473200,0068_033.6,EB
421700_4473960,0068_034.0,EB
421680_4474060,0068_034.5,EB
421140_4476420,0068_034.6,EB
420060_4479540,0068_036.0,EB
419860_4481180,0068_038.1,EB
419860_4481180,0068_039.2,EB
420200_4482140,0068_039.8,EB
420340_4482520,0068_040.1,EB
420460_4483760,0068_040.8,EB
420460_4484540,0068_041.3,EB
420480_4486160,0068_042.3,EB
420500_4487780,0068_043.3,EB
420520_4488580,0068_043.8,EB
420540_4490600,0068_045.1,EB
420560_4491800,0068_045.8,EB
420560_4493400,0068_046.8,EB
420560_4494120,0068_047.2,EB
420580_4495040,0068_047.8,EB
420580_4495400,0068_048.0,EB
420580_4495840,0068_048.3,EB
420600_4497440,0068_049.3,EB
420620_4499060,0068_050.3,EB
420620_4499760,0068_050.7,EB
420640_4500680,0068_051.3,EB
420640_4501900,0068_052.1,EB
420640_4502280,0068_052.3,EB
420660_4503620,0068_053.1,EB
420660_4503900,0068_053.3,EB
420680_4505500,0068_054.3,EB
420680_4506320,0068_054.8,EB
420680_4507100,0068_055.3,EB
420700_4507760,0068_055.7,EB
420700_4508180,0068_056.0,EB
420700_4508540,0068_056.2,EB
420700_4508760,0068_056.3,EB
420720_4509560,0068_056.8,EB
420720_4510400,0068_057.3,EB
420740_4511560,0068_058.1,EB
420740_4513220,0068_058.7,EB
420740_4513800,0068_059.1,EB
420740_4513800,0068_059.5,EB
420740_4515280,0068_060.4,EB
420760_4515980,0068_060.8,EB
420780_4517600,0068_061.8,EB
420880_4518840,0068_062.6,EB
421080_4520740,0068_063.8,EB
421460_4521620,0068_064.4,EB
421640_4523820,0068_065.7,EB
421640_4525260,0068_066.6,EB
421640_4526300,0068_067.3,EB
423180_4526300,0068_068.2,EB
424000_4526300,0068_068.7,EB
424260_4526300,0068_068.9,EB
424480_4526300,0068_069.0,EB
424840_4526280,0068_069.2,EB
425340_4525600,0068_069.6,EB
425140_4525240,0068_070.0,EB
424960_4524860,0068_070.2,EB
424800_4524340,0068_070.5,EB
416640_4486180,0071_000.0,EB
417260_4486180,0071_000.4,EB
418880_4486180,0071_001.4,EB
420480_4486160,0071_002.4,EB
421300_4486140,0071_002.9,EB
423220_4486620,0071_004.1,EB
424140_4486620,0071_004.7,EB
424540_4486600,0071_005.0,EB
424740_4486600,0071_005.1,EB
425320_4486600,0071_005.5,EB
426200_4486620,0071_006.0,EB
426220_4487500,0071_006.6,EB
426160_4488540,0071_006.7,EB
426160_4489340,0071_007.2,EB
426160_4489340,0071_007.7,EB
426160_4490140,0071_008.2,EB
426180_4491760,0071_009.2,EB
426180_4492580,0071_009.7,EB
426200_4493400,0071_010.2,EB
426200_4494160,0071_010.7,EB
426220_4495380,0071_011.5,EB
426220_4495780,0071_011.7,EB
426520_4496380,0071_012.2,EB
426740_4496960,0071_012.6,EB
426760_4497180,0071_012.7,EB
426760_4498220,0071_013.3,EB
426780_4499380,0071_014.1,EB
426800_4500220,0071_014.6,EB
426360_4502980,0071_015.7,EB
426360_4502980,0071_016.5,EB
426380_4504380,0071_017.4,EB
426380_4505800,0071_018.3,EB
426420_4507880,0071_019.2,EB
426420_4507880,0071_019.6,EB
426440_4508640,0071_020.0,EB
426440_4509540,0071_020.6,EB
426460_4510440,0071_021.2,EB
426460_4511340,0071_021.7,EB
426460_4511580,0071_021.9,EB
426480_4512080,0071_022.2,EB
426480_4512320,0071_022.3,EB
399280_4454060,0073_015.5,EB
403800_4455780,0073_018.5,EB
406820_4459800,0073_020.7,EB
406580_4461420,0073_022.2,EB
406460_4462240,0073_023.2,EB
406340_4463060,0073_023.8,EB
406340_4463860,0073_024.3,EB
406340_4463760,0073_024.6,EB
406440_4465240,0073_025.7,EB
407280_4465940,0073_026.5,EB
407700_4466260,0073_026.7,EB
408960_4467220,0073_027.7,EB
409220_4467420,0073_027.8,EB
410060_4467900,0073_028.5,EB
411080_4468440,0073_029.2,EB
411820_4468820,0073_029.7,EB
412500_4469160,0073_030.2,EB
413340_4469620,0073_030.7,EB
414260_4470000,0073_031.3,EB
414980_4470200,0073_031.8,EB
415720_4470400,0073_032.3,EB
417300_4470460,0073_033.3,EB
418160_4470640,0073_033.9,EB
419360_4470880,0073_034.6,EB
420600_4471020,0073_035.4,EB
429060_4471180,0073_035.7,EB
429260_4471180,0073_035.8,EB
432440_4469880,0074_000.0,EB
432440_4470140,0074_000.1,EB
432460_4470580,0074_000.4,EB
432460_4471540,0074_001.0,EB
432540_4472360,0074_001.6,EB
432960_4473200,0074_002.1,EB
433040_4473400,0074_002.3,EB
433260_4474780,0074_003.1,EB
433400_4476000,0074_003.9,EB
433500_4477160,0074_004.6,EB
444720_4448800,0075_000.0,EB
444980_4448800,0075_000.1,EB
445680_4448840,0075_000.6,EB
446280_4448780,0075_000.9,EB
437760_4440740,0077_000.0,EB
437760_4441540,0077_000.5,EB
437760_4442340,0077_001.0,EB
437780_4443980,0077_002.0,EB
437800_4444560,0077_002.4,EB
438620_4444780,0077_002.9,EB
439700_4445580,0077_003.9,EB
440200_4445580,0077_004.2,EB
440520_4445580,0077_004.4,EB
441320_4445580,0077_004.9,EB
441800_4445580,0077_005.2,EB
442120_4445580,0077_005.4,EB
442880_4445580,0077_005.8,EB
444060_4445860,0077_006.6,EB
444940_4445860,0077_007.1,EB
445300_4445860,0077_007.4,EB
446140_4445840,0077_007.9,EB
447140_4445820,0077_008.5,EB
412780_4561220,0079_000.0,EB
413980_4561260,0079_000.7,EB
415620_4561980,0079_001.9,EB
416660_4562040,0079_002.5,EB
417400_4562180,0079_002.9,EB
417400_4562180,0079_003.0,EB
417900_4562340,0079_003.3,EB
418140_4562320,0079_003.4,EB
418380_4562320,0079_003.6,EB
418620_4562540,0079_003.8,EB
418860_4562540,0079_003.9,EB
419560_4562520,0079_004.3,EB
418380_4562560,0079_004.9,EB
418160_4562560,0079_005.0,EB
417900_4562560,0079_005.1,EB
396440_4508720,0080_101.5,EB
396560_4508780,0080_101.5,EB
400120_4511140,0080_104.3,EB
410280_4513860,0080_111.3,EB
412180_4513840,0080_112.5,EB
413500_4513840,0080_113.3,EB
415100_4513680,0080_114.3,EB
416740_4513080,0080_115.3,EB
419780_4513160,0080_117.7,EB
423620_4507820,0080_122.4,EB
424980_4507860,0080_123.2,EB
426420_4507880,0080_124.1,EB
427900_4507980,0080_125.1,EB
430540_4507220,0080_126.8,EB
430800_4507160,0080_127.0,EB
431860_4507320,0080_127.8,EB
433360_4507120,0080_128.7,EB
435400_4508900,0080_130.4,EB
437300_4510100,0080_131.9,EB
439740_4511420,0080_133.7,EB
443200_4510020,0080_136.1,EB
415280_4558660,0084_081.0,EB
415280_4558660,0084_081.7,EB
418700_4555820,0084_084.6,EB
423300_4554400,0084_087.8,EB
419220_4479600,0085_003.0,EB
417180_4481020,0085_003.5,EB
416300_4481720,0085_004.5,EB
415300_4482540,0085_005.8,EB
415020_4483020,0085_006.0,EB
414940_4483800,0085_006.6,EB
414940_4483800,0085_007.0,EB
414960_4484620,0085_007.9,EB
414900_4486240,0085_008.1,EB
414160_4487740,0085_008.9,EB
413880_4488120,0085_010.0,EB
413400_4488780,0085_010.3,EB
412900_4489500,0085_010.8,EB
412700_4490520,0085_011.3,EB
412600_4491300,0085_011.9,EB
412600_4491300,0085_012.5,EB
412580_4495920,0085_013.9,EB
411680_4499160,0085_015.5,EB
411680_4499160,0085_017.7,EB
411760_4500780,0085_018.7,EB
456680_4407140,0089_297.1,EB
449060_4439940,0089_322.3,EB
449060_4439940,0089_324.2,EB
449060_4440760,0089_324.7,EB
449060_4442940,0089_325.7,EB
448880_4443600,0089_326.1,EB
448660_4444000,0089_326.5,EB
448580_4444320,0089_326.8,EB
448020_4445180,0089_327.0,EB
448000_4445540,0089_327.7,EB
448000_4445540,0089_327.9,EB
448000_4445820,0089_328.1,EB
448000_4446440,0089_328.5,EB
448000_4447060,0089_328.8,EB
447080_4450360,0089_329.8,EB
446460_4450920,0089_331.1,EB
446400_4451020,0089_331.6,EB
445300_4452940,0089_331.7,EB
445240_4453040,0089_333.1,EB
445000_4453440,0089_333.2,EB
443960_4453460,0089_333.5,EB
443660_4453460,0089_334.1,EB
443220_4453460,0089_334.3,EB
443220_4453460,0089_334.6,EB
443220_4453920,0089_334.9,EB
443220_4454220,0089_335.0,EB
443220_4454660,0089_335.3,EB
443220_4455800,0089_335.6,EB
442800_4456440,0089_336.0,EB
442620_4456720,0089_336.5,EB
442160_4457380,0089_336.7,EB
442000_4457720,0089_337.2,EB
441800_4458320,0089_337.5,EB
441740_4458520,0089_337.9,EB
441460_4459340,0089_338.0,EB
441200_4460140,0089_338.5,EB
440940_4460960,0089_339.1,EB
440660_4461780,0089_339.6,EB
440400_4462620,0089_340.2,EB
440120_4463440,0089_340.7,EB
439860_4464240,0089_341.3,EB
439400_4465040,0089_341.8,EB
438580_4466260,0089_342.4,EB
437860_4467060,0089_343.3,EB
437500_4467480,0089_344.0,EB
437260_4467740,0089_344.3,EB
437120_4467860,0089_344.6,EB
436560_4468100,0089_344.7,EB
436220_4468620,0089_345.0,EB
435500_4468880,0089_345.4,EB
434700_4469120,0089_345.9,EB
433320_4469560,0089_346.5,EB
432440_4469880,0089_347.4,EB
431980_4469880,0089_348.0,EB
431540_4469900,0089_348.3,EB
431100_4469900,0089_348.5,EB
430860_4470600,0089_348.8,EB
430240_4471020,0089_349.3,EB
429820_4471240,0089_349.8,EB
428640_4471860,0089_350.1,EB
427900_4472280,0089_350.9,EB
427500_4472700,0089_351.4,EB
427280_4472920,0089_351.8,EB
427000_4473200,0089_352.0,EB
426240_4473940,0089_352.2,EB
424520_4487740,0089_362.5,EB
424520_4487740,0089_363.3,EB
424540_4488560,0089_363.8,EB
424580_4489360,0089_364.3,EB
424580_4490160,0089_364.8,EB
424600_4491380,0089_365.5,EB
424600_4492580,0089_366.3,EB
424600_4493420,0089_366.8,EB
424620_4494060,0089_367.2,EB
424640_4495380,0089_368.0,EB
424640_4495960,0089_368.4,EB
424680_4497040,0089_369.0,EB
424780_4498280,0089_369.8,EB
424780_4498420,0089_369.9,EB
424840_4499500,0089_370.6,EB
424880_4500220,0089_371.0,EB
424900_4500960,0089_371.5,EB
424920_4501880,0089_372.0,EB
424920_4502160,0089_372.2,EB
424920_4502980,0089_372.6,EB
424920_4502980,0089_372.7,EB
424940_4504400,0089_373.6,EB
424960_4505820,0089_374.5,EB
