SEGIDIDX,SEGID,SUBAREAID,CO_FIPS,AREATYPE,ATYPENAME,LINKS,DIST_1WY,LANES,FT,FTCLASS,CAP1HL,AM_VOL,MD_VOL,PM_VOL,EV_VOL,DY_VOL,DY_LT,DY_MD,DY_HV,FF_SPD,AM_SPD,MD_SPD,PM_SPD,EV_SPD,DY_SPD,D1_LINKS,D1_DIST,D1_LANES,D1_FT,D1_FTCLASS,D1_CAP1HL,D1_AM_VOL,D1_MD_VOL,D1_PM_VOL,D1_EV_VOL,D1_DY_VOL,D1_DY_LT,D1_DY_MD,D1_DY_HV,D1_FF_SPD,D1_AM_SPD,D1_MD_SPD,D1_PM_SPD,D1_EV_SPD,D1_DY_SPD,D2_LINKS,D2_DIST,D2_LANES,D2_FT,D2_FTCLASS,D2_CAP1HL,D2_AM_VOL,D2_MD_VOL,D2_PM_VOL,D2_EV_VOL,D2_DY_VOL,D2_DY_LT,D2_DY_MD,D2_DY_HV,D2_FF_SPD,D2_AM_SPD,D2_MD_SPD,D2_PM_SPD,D2_EV_SPD,D2_DY_SPD
         1,0006_146.9,       1.0,      49.0,       1.0,Rural,        20,     8.789,       2.0,       2.0,Principal Arterial,      1065,     326.0,     458.8,     393.0,     348.4,    1526.2,       0.8,     151.0,     119.0,      58.0,      58.0,      58.0,      58.0,      58.0,      58.0,        10,     8.789,       1.0,       2.0,Principal Arterial,      1065,     200.8,     265.3,     192.4,     187.3,     845.9,         0,     107.0,      73.2,      58.0,      58.0,      58.0,      58.0,      58.0,      58.0,        10,     8.789,       1.0,       2.0,Principal Arterial,      1065,     125.2,     193.5,     200.6,     161.0,     680.3,       0.8,      44.0,      45.8,      58.0,      58.0,      58.0,      58.0,      58.0,      58.0
         2,0006_149.9,       1.0,      49.0,       1.0,Rural,         2,     0.621,       2.0,       2.0,Principal Arterial,      1065,     263.5,     482.7,     447.7,     357.0,    1550.9,     152.9,     171.9,      97.1,      58.0,      58.0,      58.0,      58.0,      58.0,      58.0,         1,     0.621,       1.0,       2.0,Principal Arterial,      1065,     188.9,     273.3,     220.4,     194.0,     876.6,      79.0,     115.9,      57.0,      58.0,      58.0,      58.0,      58.0,      58.0,      58.0,         1,     0.621,       1.0,       2.0,Principal Arterial,      1065,      74.6,     209.4,     227.3,     163.0,     674.3,      73.9,      56.0,      40.1,      58.0,      58.0,      58.0,      58.0,      58.0,      58.0
         3,0006_150.6,       1.0,      49.0,       1.0,Rural,         8,     1.976,       2.0,       2.0,Principal Arterial,      1065,     298.2,     547.2,     501.0,     396.8,    1743.1,     190.6,     187.9,     104.3,      58.0,      58.0,      58.0,      58.0,      58.0,      58.0,         4,     1.976,       1.0,       2.0,Principal Arterial,      1065,     203.4,     305.4,     246.5,     216.4,     971.7,      98.4,     125.2,      59.5,      58.0,      58.0,      58.0,      58.0,      58.0,      58.0,         4,     1.976,       1.0,       2.0,Principal Arterial,      1065,      94.8,     241.7,     254.5,     180.4,     771.4,      92.2,      62.8,      44.8,      58.0,      58.0,      58.0,      58.0,      58.0,      58.0
         4,0006_152.6,       1.0,      49.0,       1.0,Rural,         2,     0.374,       2.0,       3.0,Minor Arterial,       983,     446.9,     795.0,     667.4,     578.0,    2487.3,     343.9,     287.9,     161.1,      55.0,      55.0,      55.0,      55.0,      55.0,      55.0,         1,     0.374,       1.0,       3.0,Minor Arterial,       983,     316.8,     424.0,     287.1,     300.0,    1327.9,     183.0,     171.9,      85.0,      55.0,      55.0,      55.0,      55.0,      55.0,      55.0,         1,     0.374,       1.0,       3.0,Minor Arterial,       983,     130.1,     371.0,     380.3,     278.0,    1159.4,     160.9,     116.0,      76.1,      55.0,      55.0,      55.0,      55.0,      55.0,      55.0
         5,0006_152.9,       1.0,      49.0,       1.0,Rural,         6,     3.060,       2.0,       2.0,Principal Arterial,      1057,     648.1,    1229.5,    1001.7,     869.4,    3748.8,     506.4,     437.5,     270.3,      57.7,      57.7,      57.7,      57.7,      57.7,      57.7,         3,     3.060,       1.0,       2.0,Principal Arterial,      1057,     427.8,     645.7,     438.3,     456.0,    1967.8,     265.4,     255.2,     147.6,      57.7,      57.7,      57.7,      57.7,      57.7,      57.7,         3,     3.060,       1.0,       2.0,Principal Arterial,      1057,     220.3,     583.8,     563.4,     413.4,    1781.0,     241.0,     182.3,     122.7,      57.7,      57.7,      57.7,      57.6,      57.7,      57.7
         6,0006_155.9,       1.0,      49.0,       1.0,Rural,         6,     1.385,       2.0,       2.0,Principal Arterial,      1065,     532.4,     976.3,     805.2,     707.7,    3021.6,     393.2,     339.9,     210.9,      58.0,      58.0,      58.0,      58.0,      58.0,      58.0,         3,     1.385,       1.0,       2.0,Principal Arterial,      1065,     362.7,     516.6,     350.6,     375.0,    1605.0,     208.0,     204.2,     115.1,      58.0,      58.0,      58.0,      58.0,      58.0,      58.0,         3,     1.385,       1.0,       2.0,Principal Arterial,      1065,     169.7,     459.7,     454.6,     332.6,    1416.7,     185.2,     135.7,      95.8,      58.0,      58.0,      58.0,      58.0,      58.0,      58.0
         7,0006_157.3,       1.0,      49.0,       1.0,Rural,         2,     0.231,       2.0,       2.0,Principal Arterial,      1065,     659.6,    1229.3,     976.2,     908.0,    3773.1,     519.0,     425.1,     247.1,      58.0,      58.0,      58.0,      58.0,      58.0,      58.0,         1,     0.231,       1.0,       2.0,Principal Arterial,      1065,     426.5,     660.6,     440.2,     466.0,    1993.3,     272.0,     242.0,     131.1,      58.0,      58.0,      58.0,      58.0,      58.0,      58.0,         1,     0.231,       1.0,       2.0,Principal Arterial,      1065,     233.1,     568.7,     536.0,     442.0,    1779.8,     247.0,     183.1,     116.0,      58.0,      58.0,      58.0,      57.9,      58.0,      58.0
         8,0006_157.6,       1.0,      49.0,       1.0,Rural,        10,     0.941,       2.0,       2.0,Principal Arterial,      1060,     713.4,    1360.9,    1068.8,    1010.2,    4153.3,     579.1,     461.3,     262.0,      56.7,      56.7,      56.7,      56.7,      56.7,      56.7,         5,     0.941,       1.0,       2.0,Principal Arterial,      1060,     459.7,     726.3,     489.3,     521.4,    2196.7,     304.5,     264.9,     141.8,      56.7,      56.7,      56.7,      56.7,      56.7,      56.7,         5,     0.941,       1.0,       2.0,Principal Arterial,      1060,     253.7,     634.6,     579.5,     488.8,    1956.6,     274.7,     196.4,     120.2,      56.7,      56.7,      56.7,      56.7,      56.7,      56.7
         9,0006_158.5,       1.0,      49.0,       2.0,Transition,        16,     1.129,       2.0,       2.0,Principal Arterial,      1016,     795.9,    1517.7,    1188.1,    1132.9,    4634.5,     664.5,     508.2,     285.2,      48.0,      48.0,      48.0,      47.9,      48.0,      48.0,         8,     1.129,       1.0,       2.0,Principal Arterial,      1016,     509.7,     803.0,     540.6,     577.6,    2430.9,     351.3,     287.8,     152.2,      48.0,      48.0,      48.0,      47.9,      48.0,      48.0,         8,     1.129,       1.0,       2.0,Principal Arterial,      1016,     286.2,     714.7,     647.5,     555.3,    2203.6,     313.2,     220.5,     133.0,      48.0,      48.0,      48.0,      47.9,      48.0,      48.0
        10,0006_159.6,       1.0,      49.0,       2.0,Transition,         2,     0.228,       2.0,       2.0,Principal Arterial,      1016,    1363.6,    2810.3,    2077.2,    2047.1,    8298.2,    1345.0,     906.1,     465.1,      48.0,      47.9,      47.9,      47.4,      48.0,      47.8,         1,     0.228,       1.0,       2.0,Principal Arterial,      1016,     810.5,    1435.6,     960.0,    1010.0,    4216.1,     694.0,     479.0,     247.1,      48.0,      47.8,      47.9,      47.6,      48.0,      47.8,         1,     0.228,       1.0,       2.0,Principal Arterial,      1016,     553.1,    1374.7,    1117.2,    1037.1,    4082.1,     651.0,     427.1,     218.0,      48.0,      47.9,      47.9,      47.3,      48.0,      47.7
