SEGIDIDX,SEGID,SUBAREAID,CO_FIPS,AREATYPE,ATYPENAME,LINKS,DIST_1WY,LANES,FT,FTCLASS,CAP1HL,AM_VOL,MD_VOL,PM_VOL,EV_VOL,DY_VOL,DY_LT,DY_MD,DY_HV,FF_SPD,AM_SPD,MD_SPD,PM_SPD,EV_SPD,DY_SPD,D1_LINKS,D1_DIST,D1_LANES,D1_FT,D1_FTCLASS,D1_CAP1HL,D1_AM_VOL,D1_MD_VOL,D1_PM_VOL,D1_EV_VOL,D1_DY_VOL,D1_DY_LT,D1_DY_MD,D1_DY_HV,D1_FF_SPD,D1_AM_SPD,D1_MD_SPD,D1_PM_SPD,D1_EV_SPD,D1_DY_SPD,D2_LINKS,D2_DIST,D2_LANES,D2_FT,D2_FTCLASS,D2_CAP1HL,D2_AM_VOL,D2_MD_VOL,D2_PM_VOL,D2_EV_VOL,D2_DY_VOL,D2_DY_LT,D2_DY_MD,D2_DY_HV,D2_FF_SPD,D2_AM_SPD,D2_MD_SPD,D2_PM_SPD,D2_EV_SPD,D2_DY_SPD
         1,0006_146.9,       1.0,      49.0,       1.0,Rural,        20,     8.789,       2.0,       2.0,Principal Arterial,      1065,     401.4,     610.8,     509.4,     471.0,    1992.5,         0,     180.0,     149.0,      58.0,      58.0,      58.0,      58.0,      58.0,      58.0,        10,     8.789,       1.0,       2.0,Principal Arterial,      1065,     262.8,     362.8,     251.9,     250.0,    1127.4,         0,     141.9,      98.6,      58.0,      58.0,      58.0,      58.0,      58.0,      58.0,        10,     8.789,       1.0,       2.0,Principal Arterial,      1065,     138.6,     248.0,     257.5,     221.0,     865.1,         0,      38.1,      50.4,      58.0,      58.0,      58.0,      58.0,      58.0,      58.0
         2,0006_149.9,       1.0,      49.0,       1.0,Rural,         2,     0.621,       2.0,       2.0,Principal Arterial,      1065,     725.9,     836.3,    1210.7,     625.0,    3397.9,     225.0,     321.6,     141.2,      58.0,      57.9,      58.0,      57.8,      58.0,      57.9,         1,     0.621,       1.0,       2.0,Principal Arterial,      1065,     626.9,     497.5,     346.9,     332.0,    1803.3,     115.0,     204.0,      94.9,      58.0,      57.9,      58.0,      58.0,      58.0,      58.0,         1,     0.621,       1.0,       2.0,Principal Arterial,      1065,      99.0,     338.8,     863.8,     293.0,    1594.6,     110.0,     117.6,      46.3,      58.0,      58.0,      58.0,      57.8,      58.0,      57.9
         3,0006_150.6,       1.0,      49.0,       1.0,Rural,         8,     1.976,       2.0,       2.0,Principal Arterial,      1065,     760.3,     914.2,    1265.6,     690.8,    3630.9,     268.9,     349.2,     150.9,      58.0,      57.9,      58.0,      57.8,      58.0,      57.9,         4,     1.976,       1.0,       2.0,Principal Arterial,      1065,     645.6,     537.2,     377.2,     362.0,    1922.0,     138.6,     217.1,      99.5,      58.0,      57.9,      58.0,      58.0,      58.0,      58.0,         4,     1.976,       1.0,       2.0,Principal Arterial,      1065,     114.7,     377.0,     888.4,     328.9,    1708.9,     130.3,     132.1,      51.4,      58.0,      58.0,      58.0,      57.7,      58.0,      57.9
         4,0006_152.6,       1.0,      49.0,       1.0,Rural,         2,     0.374,       2.0,       3.0,Minor Arterial,       983,     933.9,    1230.2,    1492.7,     913.0,    4569.8,     500.0,     501.6,     224.2,      55.0,      54.8,      55.0,      54.6,      55.0,      54.8,         1,     0.374,       1.0,       3.0,Minor Arterial,       983,     760.9,     679.5,     461.9,     450.0,    2352.3,     250.0,     285.0,     131.9,      55.0,      54.8,      55.0,      55.0,      55.0,      54.9,         1,     0.374,       1.0,       3.0,Minor Arterial,       983,     173.0,     550.7,    1030.8,     463.0,    2217.5,     250.0,     216.6,      92.3,      55.0,      55.0,      55.0,      54.4,      55.0,      54.7
         5,0006_152.9,       1.0,      49.0,       1.0,Rural,         6,     3.060,       2.0,       2.0,Principal Arterial,      1057,    1285.6,    1837.4,    1959.5,    1332.7,    6415.2,     760.3,     741.2,     374.4,      57.7,      57.4,      57.7,      56.9,      57.7,      57.4,         3,     3.060,       1.0,       2.0,Principal Arterial,      1057,     926.2,    1001.1,     699.3,     667.5,    3294.2,     368.4,     415.6,     219.0,      57.7,      57.3,      57.7,      57.6,      57.7,      57.5,         3,     3.060,       1.0,       2.0,Principal Arterial,      1057,     359.3,     836.3,    1260.2,     665.2,    3121.0,     391.8,     325.6,     155.4,      57.7,      57.7,      57.7,      56.5,      57.7,      57.2
         6,0006_155.9,       1.0,      49.0,       2.0,Transition,         6,     1.385,       2.0,       2.0,Principal Arterial,      1016,    1159.7,    1675.1,    1600.1,    1233.1,    5668.0,     696.8,     634.6,     332.0,      48.0,      47.8,      48.0,      47.7,      48.0,      47.9,         3,     1.385,       1.0,       2.0,Principal Arterial,      1016,     846.8,     908.3,     575.3,     614.2,    2944.5,     341.4,     361.9,     195.0,      48.0,      47.8,      48.0,      47.9,      48.0,      47.9,         3,     1.385,       1.0,       2.0,Principal Arterial,      1016,     312.9,     766.8,    1024.7,     618.9,    2723.4,     355.4,     272.7,     137.0,      48.0,      48.0,      48.0,      47.5,      48.0,      47.8
         7,0006_157.3,       1.0,      49.0,       2.0,Transition,         2,     0.231,       2.0,       2.0,Principal Arterial,      1016,    1664.1,    2702.8,    2369.6,    2022.0,    8758.5,    1295.9,    1017.5,     529.2,      48.0,      47.5,      47.9,      46.8,      48.0,      47.6,         1,     0.231,       1.0,       2.0,Principal Arterial,      1016,    1089.8,    1433.1,     978.1,    1010.0,    4511.0,     646.0,     544.8,     296.9,      48.0,      47.3,      47.8,      47.5,      48.0,      47.7,         1,     0.231,       1.0,       2.0,Principal Arterial,      1016,     574.3,    1269.7,    1391.5,    1012.0,    4247.5,     649.9,     472.7,     232.3,      48.0,      47.9,      47.9,      46.4,      48.0,      47.4
         8,0006_157.6,       1.0,      49.0,       2.0,Transition,        10,     0.941,       2.0,       2.0,Principal Arterial,      1016,    1863.3,    3085.9,    2647.0,    2334.1,    9930.3,    1494.8,    1127.0,     598.4,      48.0,      47.3,      47.8,      46.1,      48.0,      47.3,         5,     0.941,       1.0,       2.0,Principal Arterial,      1016,    1183.4,    1624.3,    1127.3,    1164.2,    5099.2,     747.0,     603.5,     331.1,      48.0,      47.1,      47.7,      46.9,      48.0,      47.4,         5,     0.941,       1.0,       2.0,Principal Arterial,      1016,     680.0,    1461.6,    1519.7,    1169.9,    4831.1,     747.8,     523.5,     267.3,      48.0,      47.8,      47.8,      45.6,      48.0,      47.1
         9,0006_158.5,       1.0,      49.0,       3.0,Suburban,        16,     1.129,       2.0,       2.0,Principal Arterial,       960,    3135.0,    5333.2,    4301.3,    4002.7,   16772.2,    2597.3,    1929.8,    1110.5,      40.2,      39.1,      39.6,      36.8,      40.1,      38.8,         8,     1.129,       1.0,       2.0,Principal Arterial,       960,    1537.2,    2681.7,    2095.3,    2066.5,    8380.7,    1276.3,    1008.5,     576.2,      40.2,      39.0,      39.5,      37.3,      40.1,      39.0,         8,     1.129,       1.0,       2.0,Principal Arterial,       960,    1597.7,    2651.5,    2206.0,    1936.2,    8391.5,    1321.0,     921.3,     534.3,      40.2,      39.2,      39.6,      36.2,      40.1,      38.7
        10,0006_159.6,       1.0,      49.0,       3.0,Suburban,         2,     0.228,       4.0,       2.0,Principal Arterial,       929,    4136.8,    7570.7,    5831.8,    5706.0,   23245.3,    3510.8,    2632.7,    1478.4,      38.0,      37.3,      37.5,      35.6,      38.0,      37.1,         1,     0.228,       2.0,       2.0,Principal Arterial,       929,    1796.5,    3721.5,    2945.0,    2927.0,   11390.0,    1736.9,    1362.8,     739.9,      38.0,      37.6,      37.5,      35.5,      38.0,      37.1,         1,     0.228,       2.0,       2.0,Principal Arterial,       929,    2340.3,    3849.2,    2886.8,    2779.0,   11855.3,    1773.9,    1269.9,     738.5,      38.0,      37.0,      37.5,      35.7,      38.0,      37.1
