SEGIDIDX,SEGID,SUBAREAID,CO_FIPS,AREATYPE,ATYPENAME,LINKS,DIST_1WY,LANES,FT,FTCLASS,CAP1HL,AM_VOL,MD_VOL,PM_VOL,EV_VOL,DY_VOL,DY_LT,DY_MD,DY_HV,FF_SPD,AM_SPD,MD_SPD,PM_SPD,EV_SPD,DY_SPD,D1_LINKS,D1_DIST,D1_LANES,D1_FT,D1_FTCLASS,D1_CAP1HL,D1_AM_VOL,D1_MD_VOL,D1_PM_VOL,D1_EV_VOL,D1_DY_VOL,D1_DY_LT,D1_DY_MD,D1_DY_HV,D1_FF_SPD,D1_AM_SPD,D1_MD_SPD,D1_PM_SPD,D1_EV_SPD,D1_DY_SPD,D2_LINKS,D2_DIST,D2_LANES,D2_FT,D2_FTCLASS,D2_CAP1HL,D2_AM_VOL,D2_MD_VOL,D2_PM_VOL,D2_EV_VOL,D2_DY_VOL,D2_DY_LT,D2_DY_MD,D2_DY_HV,D2_FF_SPD,D2_AM_SPD,D2_MD_SPD,D2_PM_SPD,D2_EV_SPD,D2_DY_SPD
         1,0006_146.9,       1.0,      49.0,       1.0,Rural,        20,     8.789,       2.0,       2.0,Principal Arterial,      1065,     438.8,     651.8,     522.8,     455.4,    2068.7,       0.4,     194.9,     156.0,      58.0,      58.0,      58.0,      58.0,      58.0,      58.0,        10,     8.789,       1.0,       2.0,Principal Arterial,      1065,     278.7,     367.3,     255.1,     249.4,    1150.4,         0,     144.5,     100.2,      58.0,      58.0,      58.0,      58.0,      58.0,      58.0,        10,     8.789,       1.0,       2.0,Principal Arterial,      1065,     160.1,     284.5,     267.7,     206.0,     918.3,       0.4,      50.4,      55.8,      58.0,      58.0,      58.0,      58.0,      58.0,      58.0
         2,0006_149.9,       1.0,      49.0,       1.0,Rural,         2,     0.621,       2.0,       2.0,Principal Arterial,      1065,     450.9,     762.9,     827.8,     531.0,    2572.6,     211.1,     249.9,     132.4,      58.0,      58.0,      58.0,      58.0,      58.0,      58.0,         1,     0.621,       1.0,       2.0,Principal Arterial,      1065,     328.1,     437.1,     432.1,     285.0,    1482.3,     102.1,     176.9,      81.5,      58.0,      58.0,      58.0,      58.0,      58.0,      58.0,         1,     0.621,       1.0,       2.0,Principal Arterial,      1065,     122.8,     325.8,     395.7,     246.0,    1090.3,     109.0,      73.0,      50.9,      58.0,      58.0,      58.0,      58.0,      58.0,      58.0
         3,0006_150.6,       1.0,      49.0,       1.0,Rural,         8,     1.976,       2.0,       2.0,Principal Arterial,      1065,     490.1,     838.3,     885.8,     595.6,    2809.9,     253.4,     276.6,     143.0,      58.0,      58.0,      58.0,      58.0,      58.0,      58.0,         4,     1.976,       1.0,       2.0,Principal Arterial,      1065,     346.3,     476.9,     463.7,     317.9,    1604.9,     127.5,     189.6,      86.5,      58.0,      58.0,      58.0,      58.0,      58.0,      58.0,         4,     1.976,       1.0,       2.0,Principal Arterial,      1065,     143.8,     361.4,     422.1,     277.7,    1205.0,     125.9,      87.0,      56.5,      58.0,      58.0,      58.0,      58.0,      58.0,      58.0
         4,0006_152.6,       1.0,      49.0,       1.0,Rural,         2,     0.374,       2.0,       3.0,Minor Arterial,       983,     647.3,    1117.9,    1088.3,     810.0,    3663.5,     459.1,     414.9,     221.4,      55.0,      55.0,      55.0,      54.9,      55.0,      55.0,         1,     0.374,       1.0,       3.0,Minor Arterial,       983,     464.2,     608.1,     530.8,     409.0,    2012.1,     241.1,     254.9,     116.5,      55.0,      55.0,      55.0,      54.9,      55.0,      55.0,         1,     0.374,       1.0,       3.0,Minor Arterial,       983,     183.1,     509.8,     557.5,     401.0,    1651.4,     218.0,     160.0,     104.9,      55.0,      55.0,      55.0,      54.9,      55.0,      55.0
         5,0006_152.9,       1.0,      49.0,       1.0,Rural,         6,     3.060,       2.0,       2.0,Principal Arterial,      1057,     956.5,    1750.3,    1547.0,    1208.3,    5462.1,     701.8,     641.2,     361.9,      57.7,      57.6,      57.7,      57.5,      57.7,      57.6,         3,     3.060,       1.0,       2.0,Principal Arterial,      1057,     620.5,     921.4,     762.5,     631.6,    2936.0,     360.3,     385.3,     198.8,      57.7,      57.6,      57.7,      57.5,      57.7,      57.6,         3,     3.060,       1.0,       2.0,Principal Arterial,      1057,     336.0,     828.9,     784.4,     576.7,    2526.1,     341.5,     255.9,     163.1,      57.7,      57.7,      57.7,      57.5,      57.7,      57.6
         6,0006_155.9,       1.0,      49.0,       2.0,Transition,         6,     1.385,       3.0,       2.0,Principal Arterial,       996,     879.4,    1554.4,    1396.3,    1123.8,    4954.0,     662.9,     573.3,     330.3,      48.0,      48.0,      48.0,      47.9,      48.0,      48.0,         3,     1.385,       1.0,       2.0,Principal Arterial,      1016,     583.0,     819.7,     669.9,     580.6,    2653.2,     342.2,     342.0,     179.6,      48.0,      47.9,      48.0,      47.9,      48.0,      48.0,         3,     1.385,       2.0,       2.0,Principal Arterial,       975,     296.5,     734.7,     726.4,     543.2,    2300.7,     320.7,     231.3,     150.7,      48.0,      48.0,      48.0,      48.0,      48.0,      48.0
         7,0006_157.3,       1.0,      49.0,       2.0,Transition,         2,     0.231,       3.0,       2.0,Principal Arterial,       996,    1390.1,    2593.9,    2135.4,    1908.8,    8028.2,    1237.1,     953.9,     519.4,      48.0,      47.9,      47.9,      47.7,      48.0,      47.9,         1,     0.231,       1.0,       2.0,Principal Arterial,      1016,     826.3,    1354.1,    1057.2,     972.8,    4210.4,     639.1,     525.9,     278.5,      48.0,      47.8,      47.9,      47.4,      48.0,      47.7,         1,     0.231,       2.0,       2.0,Principal Arterial,       975,     563.8,    1239.8,    1078.2,     936.0,    3817.8,     598.0,     428.0,     240.9,      48.0,      48.0,      48.0,      47.9,      48.0,      48.0
         8,0006_157.6,       1.0,      49.0,       2.0,Transition,        10,     0.941,       3.0,       2.0,Principal Arterial,       996,    1489.0,    2830.6,    2333.5,    2106.2,    8759.2,    1366.0,    1018.5,     535.4,      48.0,      47.9,      47.9,      47.5,      48.0,      47.8,         5,     0.941,       2.0,       2.0,Principal Arterial,       994,     913.8,    1473.3,    1136.1,    1070.8,    4594.0,     702.9,     568.7,     287.3,      48.0,      47.8,      47.9,      47.6,      48.0,      47.8,         5,     0.941,       1.0,       2.0,Principal Arterial,       998,     575.2,    1357.3,    1197.4,    1035.4,    4165.2,     663.1,     449.8,     248.1,      48.0,      48.0,      47.9,      47.4,      48.0,      47.8
         9,0006_158.5,       1.0,      49.0,       3.0,Suburban,        16,     1.129,       3.0,       2.0,Principal Arterial,       955,    2647.6,    4848.0,    3900.1,    3559.6,   14955.3,    2375.5,    1787.9,    1008.4,      40.2,      39.6,      39.7,      37.7,      40.1,      39.2,         8,     1.129,       2.0,       2.0,Principal Arterial,       950,    1259.9,    2406.2,    2043.4,    1843.6,    7553.1,    1197.6,     935.2,     517.2,      40.2,      39.7,      39.8,      38.0,      40.1,      39.4,         8,     1.129,       1.0,       2.0,Principal Arterial,       960,    1387.8,    2441.8,    1856.7,    1716.0,    7402.2,    1177.9,     852.7,     491.1,      40.2,      39.5,      39.6,      37.4,      40.1,      39.1
        10,0006_159.6,       1.0,      49.0,       3.0,Suburban,         2,     0.228,       4.0,       2.0,Principal Arterial,       929,    3598.8,    6903.7,    5216.1,    4970.9,   20689.5,    3193.5,    2499.5,    1427.5,      38.0,      37.5,      37.6,      36.3,      38.0,      37.4,         1,     0.228,       2.0,       2.0,Principal Arterial,       929,    1541.3,    3358.2,    2780.1,    2602.5,   10282.1,    1623.6,    1258.0,     717.5,      38.0,      37.8,      37.7,      36.0,      38.0,      37.3,         1,     0.228,       2.0,       2.0,Principal Arterial,       929,    2057.5,    3545.5,    2436.0,    2368.4,   10407.4,    1569.9,    1241.5,     710.0,      38.0,      37.4,      37.6,      36.7,      38.0,      37.4
        11,0006_159.8,       1.0,      49.0,       3.0,Suburban,         4,     0.440,       4.0,       2.0,Principal Arterial,       929,    3783.6,    6971.4,    5286.8,    5080.7,   21122.5,    3208.5,    2661.4,    1570.9,      38.0,      37.5,      37.6,      36.2,      38.0,      37.3,         2,     0.440,       2.0,       2.0,Principal Arterial,       929,    1844.1,    3373.4,    2559.8,    2527.0,   10304.3,    1561.3,    1302.1,     792.4,      38.0,      37.6,      37.7,      36.4,      38.0,      37.4,         2,     0.440,       2.0,       2.0,Principal Arterial,       929,    1939.4,    3598.0,    2727.0,    2553.7,   10818.2,    1647.2,    1359.3,     778.4,      38.0,      37.5,      37.6,      36.1,      38.0,      37.3
