SEGIDIDX,SEGID,SUBAREAID,CO_FIPS,AREATYPE,ATYPENAME,LINKS,DIST_1WY,LANES,FT,FTCLASS,CAP1HL,AM_VOL,MD_VOL,PM_VOL,EV_VOL,DY_VOL,DY_LT,DY_MD,DY_HV,FF_SPD,AM_SPD,MD_SPD,PM_SPD,EV_SPD,DY_SPD,D1_LINKS,D1_DIST,D1_LANES,D1_FT,D1_FTCLASS,D1_CAP1HL,D1_AM_VOL,D1_MD_VOL,D1_PM_VOL,D1_EV_VOL,D1_DY_VOL,D1_DY_LT,D1_DY_MD,D1_DY_HV,D1_FF_SPD,D1_AM_SPD,D1_MD_SPD,D1_PM_SPD,D1_EV_SPD,D1_DY_SPD,D2_LINKS,D2_DIST,D2_LANES,D2_FT,D2_FTCLASS,D2_CAP1HL,D2_AM_VOL,D2_MD_VOL,D2_PM_VOL,D2_EV_VOL,D2_DY_VOL,D2_DY_LT,D2_DY_MD,D2_DY_HV,D2_FF_SPD,D2_AM_SPD,D2_MD_SPD,D2_PM_SPD,D2_EV_SPD,D2_DY_SPD
         1,0006_146.9,       1.0,      49.0,       1.0,Rural,        20,     8.789,       2.0,       2.0,Principal Arterial,      1065,     356.4,     534.4,     422.8,     416.8,    1730.3,       0.4,     177.0,     134.0,      58.0,      58.0,      58.0,      58.0,      58.0,      58.0,        10,     8.789,       1.0,       2.0,Principal Arterial,      1065,     225.1,     304.1,     218.4,     219.1,     966.7,         0,     123.0,      84.0,      58.0,      58.0,      58.0,      58.0,      58.0,      58.0,        10,     8.789,       1.0,       2.0,Principal Arterial,      1065,     131.3,     230.3,     204.4,     197.7,     763.6,       0.4,      54.0,      50.0,      58.0,      58.0,      58.0,      58.0,      58.0,      58.0
         2,0006_149.9,       1.0,      49.0,       1.0,Rural,         2,     0.621,       2.0,       2.0,Principal Arterial,      1065,     354.8,     593.3,     638.9,     461.0,    2048.0,     225.0,     207.1,     136.6,      58.0,      58.0,      58.0,      58.0,      58.0,      58.0,         1,     0.621,       1.0,       2.0,Principal Arterial,      1065,     249.8,     349.7,     279.0,     252.0,    1130.5,     109.0,     139.1,      76.0,      58.0,      58.0,      58.0,      58.0,      58.0,      58.0,         1,     0.621,       1.0,       2.0,Principal Arterial,      1065,     105.0,     243.6,     359.9,     209.0,     917.5,     116.0,      68.0,      60.6,      58.0,      58.0,      58.0,      58.0,      58.0,      58.0
         3,0006_150.6,       1.0,      49.0,       1.0,Rural,         8,     1.976,       2.0,       2.0,Principal Arterial,      1065,     378.5,     660.9,     685.9,     512.6,    2238.0,     265.3,     226.2,     139.6,      58.0,      58.0,      58.0,      58.0,      58.0,      58.0,         4,     1.976,       1.0,       2.0,Principal Arterial,      1065,     265.9,     383.9,     307.2,     278.6,    1235.6,     133.1,     150.1,      78.1,      58.0,      58.0,      58.0,      58.0,      58.0,      58.0,         4,     1.976,       1.0,       2.0,Principal Arterial,      1065,     112.6,     277.1,     378.7,     234.0,    1002.4,     132.3,      76.1,      61.5,      58.0,      58.0,      58.0,      58.0,      58.0,      58.0
         4,0006_152.6,       1.0,      49.0,       1.0,Rural,         2,     0.374,       2.0,       3.0,Minor Arterial,       983,     519.1,     923.8,     863.5,     703.0,    3009.4,     442.0,     344.1,     196.6,      55.0,      55.0,      55.0,      55.0,      55.0,      55.0,         1,     0.374,       1.0,       3.0,Minor Arterial,       983,     376.6,     516.1,     366.6,     360.0,    1619.3,     225.0,     209.1,     106.0,      55.0,      55.0,      55.0,      55.0,      55.0,      55.0,         1,     0.374,       1.0,       3.0,Minor Arterial,       983,     142.5,     407.7,     496.9,     343.0,    1390.1,     217.0,     135.0,      90.6,      55.0,      55.0,      55.0,      55.0,      55.0,      55.0
         5,0006_152.9,       1.0,      49.0,       1.0,Rural,         6,     3.060,       2.0,       2.0,Principal Arterial,      1057,     772.0,    1494.4,    1246.9,    1054.6,    4568.1,     629.5,     528.7,     325.0,      57.7,      57.7,      57.7,      57.6,      57.7,      57.7,         3,     3.060,       1.0,       2.0,Principal Arterial,      1057,     510.5,     794.2,     557.5,     558.0,    2420.3,     323.9,     313.0,     178.4,      57.7,      57.7,      57.7,      57.6,      57.7,      57.7,         3,     3.060,       1.0,       2.0,Principal Arterial,      1057,     261.5,     700.2,     689.4,     496.6,    2147.8,     305.6,     215.7,     146.6,      57.7,      57.7,      57.7,      57.6,      57.7,      57.6
         6,0006_155.9,       1.0,      49.0,       1.0,Rural,         6,     1.385,       2.0,       2.0,Principal Arterial,      1065,     651.0,    1241.3,    1031.3,     887.3,    3810.8,     527.2,     409.4,     253.7,      58.0,      58.0,      58.0,      58.0,      58.0,      58.0,         3,     1.385,       1.0,       2.0,Principal Arterial,      1065,     430.6,     663.4,     458.4,     469.4,    2021.8,     274.6,     242.0,     141.2,      58.0,      58.0,      58.0,      58.0,      58.0,      58.0,         3,     1.385,       1.0,       2.0,Principal Arterial,      1065,     220.3,     578.0,     572.8,     417.9,    1789.0,     252.6,     167.5,     112.5,      58.0,      58.0,      58.0,      57.9,      58.0,      58.0
         7,0006_157.3,       1.0,      49.0,       1.0,Rural,         2,     0.231,       2.0,       2.0,Principal Arterial,      1065,     904.3,    1753.9,    1420.9,    1283.0,    5362.1,     837.0,     584.0,     331.6,      58.0,      58.0,      58.0,      57.9,      58.0,      57.9,         1,     0.231,       1.0,       2.0,Principal Arterial,      1065,     545.1,     918.6,     646.5,     677.0,    2787.2,     425.0,     323.0,     177.0,      58.0,      57.9,      58.0,      57.9,      58.0,      57.9,         1,     0.231,       1.0,       2.0,Principal Arterial,      1065,     359.2,     835.3,     774.4,     606.0,    2574.9,     412.0,     261.0,     154.6,      58.0,      58.0,      58.0,      57.8,      58.0,      57.9
         8,0006_157.6,       1.0,      49.0,       1.0,Rural,        10,     0.941,       2.0,       2.0,Principal Arterial,      1047,     987.6,    1944.0,    1572.9,    1439.6,    5944.1,     946.9,     635.7,     366.1,      53.9,      53.8,      53.8,      53.7,      53.9,      53.8,         5,     0.941,       1.0,       2.0,Principal Arterial,      1047,     587.2,    1022.0,     725.9,     749.7,    3084.8,     477.6,     350.5,     194.1,      53.9,      53.8,      53.8,      53.7,      53.9,      53.8,         5,     0.941,       1.0,       2.0,Principal Arterial,      1047,     400.4,     922.0,     847.1,     689.9,    2859.3,     469.3,     285.2,     172.0,      53.9,      53.8,      53.8,      53.6,      53.9,      53.8
         9,0006_158.5,       1.0,      49.0,       2.0,Transition,        16,     1.129,       2.0,       2.0,Principal Arterial,       972,    1465.7,    2845.2,    2212.8,    2122.2,    8645.9,    1472.5,     953.5,     526.6,      42.6,      42.6,      42.6,      42.4,      42.6,      42.5,         8,     1.129,       1.0,       2.0,Principal Arterial,       972,     856.0,    1462.5,    1010.8,    1051.2,    4380.4,     729.9,     511.2,     272.7,      42.6,      42.5,      42.6,      42.5,      42.6,      42.6,         8,     1.129,       1.0,       2.0,Principal Arterial,       972,     609.7,    1382.8,    1202.0,    1071.0,    4265.5,     742.6,     442.3,     253.9,      42.6,      42.6,      42.6,      42.3,      42.6,      42.5
        10,0006_159.6,       1.0,      49.0,       3.0,Suburban,         2,     0.228,       4.0,       2.0,Principal Arterial,       929,    2169.2,    4274.8,    3259.0,    3182.0,   12885.0,    2138.0,    1428.0,     800.6,      38.0,      37.9,      38.0,      37.7,      38.0,      37.9,         1,     0.228,       2.0,       2.0,Principal Arterial,       929,    1201.2,    2170.5,    1508.8,    1572.0,    6452.5,    1066.0,     743.0,     402.0,      38.0,      37.9,      37.9,      37.8,      38.0,      37.9,         1,     0.228,       2.0,       2.0,Principal Arterial,       929,     968.0,    2104.3,    1750.2,    1610.0,    6432.5,    1072.0,     685.0,     398.6,      38.0,      38.0,      38.0,      37.7,      38.0,      37.9
