TAZID,CO_TAZID,DevAcres,HH,Job,JobByAuto,HHByAuto,JobByAuto_wtByHH,HHByAuto_wtByJob,CompJobHHByAuto,JobByTran,HHByTran,JobByTran_wtByHH,HHByTran_wtByJob,CompJobHHByTran,JobByAuto_FF,HHByAuto_FF,JobByAuto_wtByHH_FF,HHByAuto_wtByJob_FF,CompJobHHByAuto_FF,JobByAuto_SL,HHByAuto_SL,JobByAuto_wtByHH_SL,HHByAuto_wtByJob_SL,CompJobHHByAuto_SL
         1,     30001,582.086695,         0,         0,     45090,     26727,         0,         0,         0,         0,         0,         0,         0,         0,     60140,     33538,         0,         0,         0,    103498,     58807,         0,         0,         0
         2,     30002,134.110399,      13.0,         0,     46719,     27703,    607347,         0,     46719,         0,         0,         0,         0,         0,     62303,     34754,    809943,         0,     62303,     96405,     54540,   1253270,         0,     96405
         3,     30003,636.842231,      13.5,         0,     60407,     35466,    815490,         0,     60407,         0,         0,         0,         0,         0,     81567,     45051,   1101160,         0,     81567,    106803,     60528,   1441838,         0,    106803
         4,     30004,371.455595,       3.3,         0,     56355,     33039,    185970,         0,     56355,         0,         0,         0,         0,         0,     76163,     42005,    251339,         0,     76163,    102787,     58267,    339196,         0,    102787
         5,     30005,1021.14860,      53.5,       5.0,     50154,     29762,   2683247,    148812,     49225,         0,         0,         0,         0,         0,     66871,     37323,   3577585,    186614,     65525,    106236,     60332,   5683650,    301661,    104145
         6,     30006,466.806807,       4.8,       4.4,     61760,     36282,    296446,    159642,     53635,         0,         0,         0,         0,         0,     83377,     46073,    400212,    202721,     71482,    112406,     63856,    539549,    280966,     96924
         7,     30007,790.695572,      44.0,      42.3,     60788,     35695,   2674684,   1509908,     52525,         0,         0,         0,         0,         0,     82071,     45335,   3611129,   1917672,     69973,    112751,     64020,   4961024,   2708049,     96703
         8,     30008,1096.14708,      43.6,      43.1,     60830,     36035,   2652172,   1553121,     52511,         0,         0,         0,         0,         0,     81187,     45244,   3539767,   1950013,     69128,    120794,     68951,   5266600,   2971783,    103400
         9,     30009,393.372048,      15.5,      61.1,     72827,     42960,   1128820,   2624882,     52872,         0,         0,         0,         0,         0,     98131,     54438,   1521023,   3326189,     68938,    129619,     73773,   2009101,   4507504,     92306
        10,     30010,901.614282,      17.1,      52.6,     74237,     43810,   1269456,   2304397,     55644,         0,         0,         0,         0,         0,     99906,     55446,   1708392,   2916459,     72738,    126946,     72225,   2170780,   3799026,     93508
        11,     30011,1280.56028,       3.9,         0,     68988,     40631,    269052,         0,     68988,         0,         0,         0,         0,         0,     93009,     51524,    362734,         0,     93009,    135056,     77059,    526718,         0,    135056
        12,     30012,599.771853,      14.1,         0,     76564,     45017,   1079547,         0,     76564,         0,         0,         0,         0,         0,    102898,     56954,   1450859,         0,    102898,    136945,     78125,   1930925,         0,    136945
        13,     30013,278.359848,         0,         0,     85173,     50256,         0,         0,         0,         0,         0,         0,         0,         0,    114356,     63517,         0,         0,         0,    142970,     81550,         0,         0,         0
        14,     30014,227.153493,         0,         0,     81734,     48187,         0,         0,         0,         0,         0,         0,         0,         0,    109698,     60874,         0,         0,         0,    138674,     79105,         0,         0,         0
        15,     30015,3152.46340,       1.0,     257.1,     64420,     37861,     64420,   9734014,     38062,         0,         0,         0,         0,         0,     86658,     47912,     86658,  12318209,     48205,    112667,     64075,    112667,  16473811,     64443
        16,     30016,746.812178,       2.2,      66.9,     74085,     43844,    162987,   2933161,     45673,         0,         0,         0,         0,         0,     99290,     55258,    218439,   3696765,     57922,    136154,     77742,    299538,   5200929,     81275
        17,     30017,407.588378,       5.2,         0,     77639,     45864,    403722,         0,     77639,         0,         0,         0,         0,         0,    104426,     58021,    543015,         0,    104426,    140972,     80450,    733054,         0,    140972
        18,     30018,309.030427,         0,     679.5,     80408,     47543,         0,  32305363,     47543,         0,         0,         0,         0,         0,    107871,     60006,         0,  40774024,     60006,    143884,     82171,         0,  55835070,     82171
        19,     30019,196.205397,     163.0,      35.7,     70812,     42033,  11542369,   1500569,     67917,      1659,       997,    270430,     35606,      1593,     94571,     52794,  15415019,   1884738,     90368,    138371,     79092,  22554444,   2823598,    132407
        20,     30020,173.846732,     143.8,      87.7,     65028,     38731,   9351019,   3396743,     58782,      2334,      1403,    335693,    123012,      2113,     86719,     48546,  12470138,   4257454,     77652,    135869,     77713,  19537976,   6815470,    122057
        21,     30021,128.632214,         0,     405.6,     76650,     45333,         0,  18386891,     45333,         0,         0,         0,         0,         0,    102666,     57125,         0,  23169874,     57125,    143615,     82088,         0,  33295019,     82088
