TAZID,CO_TAZID,DevAcres,HH,Job,JobByAuto,HHByAuto,JobByAuto_wtByHH,HHByAuto_wtByJob,CompJobHHByAuto,JobByTran,HHByTran,JobByTran_wtByHH,HHByTran_wtByJob,CompJobHHByTran,JobByAuto_FF,HHByAuto_FF,JobByAuto_wtByHH_FF,HHByAuto_wtByJob_FF,CompJobHHByAuto_FF,JobByAuto_SL,HHByAuto_SL,JobByAuto_wtByHH_SL,HHByAuto_wtByJob_SL,CompJobHHByAuto_SL
         1,     30001,582.086695,         0,         0,     45752,     28475,         0,         0,         0,         0,         0,         0,         0,         0,     63986,     36919,         0,         0,         0,    110382,     64848,         0,         0,         0
         2,     30002,134.110399,      14.9,         0,     47407,     29520,    706362,         0,     47407,         0,         0,         0,         0,         0,     66292,     38260,    987748,         0,     66292,    102822,     60114,   1532051,         0,    102822
         3,     30003,636.842231,      14.9,         0,     61278,     37766,    913043,         0,     61278,         0,         0,         0,         0,         0,     86916,     49635,   1295052,         0,     86916,    113979,     66818,   1698283,         0,    113979
         4,     30004,371.455595,       3.9,         0,     57174,     35172,    222980,         0,     57174,         0,         0,         0,         0,         0,     81152,     46273,    316491,         0,     81152,    109670,     64307,    427714,         0,    109670
         5,     30005,1021.14860,      58.1,       6.4,     50894,     31722,   2956957,    203019,     49837,         0,         0,         0,         0,         0,     71155,     41096,   4134116,    263014,     69498,    113302,     66509,   6582827,    425660,    110721
         6,     30006,466.806807,       6.0,       4.4,     62655,     38635,    375927,    169993,     55933,         0,         0,         0,         0,         0,     88847,     50764,    533085,    223360,     78191,    119946,     70487,    719674,    310142,    106106
         7,     30007,790.695572,      44.0,      48.0,     61665,     38009,   2713263,   1824441,     53000,         0,         0,         0,         0,         0,     87454,     49948,   3847957,   2397517,     73716,    120347,     70698,   5295280,   3393526,    102162
         8,     30008,1096.14708,      46.1,      43.5,     61725,     38423,   2845517,   1671387,     53958,         0,         0,         0,         0,         0,     86434,     49852,   3984589,   2168567,     74241,    128847,     76087,   5939850,   3309784,    111261
         9,     30009,393.372048,      22.7,      63.7,     73892,     45758,   1677355,   2914773,     57071,         0,         0,         0,         0,         0,    104599,     59992,   2374405,   3821459,     77929,    138371,     81465,   3141017,   5189297,    104348
        10,     30010,901.614282,      17.8,      52.6,     75330,     46676,   1340866,   2455140,     57844,         0,         0,         0,         0,         0,    106496,     61104,   1895630,   3214084,     78796,    135496,     79737,   2411829,   4194155,    101469
