TAZID,CO_TAZID,DevAcres,HH,Job,JobByAuto,HHByAuto,JobByAuto_wtByHH,HHByAuto_wtByJob,CompJobHHByAuto,JobByTran,HHByTran,JobByTran_wtByHH,HHByTran_wtByJob,CompJobHHByTran,JobByAuto_FF,HHByAuto_FF,JobByAuto_wtByHH_FF,HHByAuto_wtByJob_FF,CompJobHHByAuto_FF,JobByAuto_SL,HHByAuto_SL,JobByAuto_wtByHH_SL,HHByAuto_wtByJob_SL,CompJobHHByAuto_SL
         1,     30001,582.086695,         0,         0,     54900,     42354,         0,         0,         0,         0,         0,         0,         0,         0,     75220,     53735,         0,         0,         0,    129441,     93869,         0,         0,         0
         2,     30002,134.110399,      38.5,         0,     56857,     43892,   2188982,         0,     56857,         0,         0,         0,         0,         0,     77934,     55702,   3000474,         0,     77934,    120505,     86837,   4639459,         0,    120505
         3,     30003,636.842231,      18.5,         0,     71554,     54902,   1323743,         0,     71554,         0,         0,         0,         0,         0,    100511,     71388,   1859458,         0,    100511,    133416,     96575,   2468196,         0,    133416
         4,     30004,371.455595,       5.3,         0,     66822,     51182,    354159,         0,     66822,         0,         0,         0,         0,         0,     93850,     66546,    497403,         0,     93850,    128366,     92877,    680341,         0,    128366
         5,     30005,1021.14860,      70.5,      10.1,     60996,     47141,   4300238,    476123,     59860,         0,         0,         0,         0,         0,     83657,     59853,   5897828,    604519,     81704,    132766,     96112,   9360002,    970732,    129759
         6,     30006,466.806807,       8.6,       4.4,     73142,     56152,    629017,    247070,     69031,         0,         0,         0,         0,         0,    102742,     73015,    883585,    321266,     95550,    140386,    101879,   1207317,    448266,    131068
         7,     30007,790.695572,      44.0,      63.8,     72005,     55256,   3168241,   3525342,     64050,         0,         0,         0,         0,         0,    101132,     71840,   4449791,   4583399,     87219,    140965,    102401,   6202474,   6533187,    122649
         8,     30008,1096.14708,      53.2,      44.7,     73847,     57092,   3928673,   2552013,     68085,         0,         0,         0,         0,         0,    101653,     72762,   5407965,   3252479,     91717,    150752,    109701,   8020004,   4903646,    136634
         9,     30009,393.372048,      37.1,      71.4,     86095,     66394,   3194123,   4740543,     75346,         0,         0,         0,         0,         0,    120912,     86310,   4485832,   6162516,    102033,    161950,    117921,   6008334,   8419548,    137928
        10,     30010,901.614282,      19.7,      52.6,     87891,     67817,   1731461,   3567190,     75348,         0,         0,         0,         0,         0,    123099,     87910,   2425055,   4624089,    101111,    158460,    115219,   3121655,   6060538,    131440
        11,     30011,1280.56028,       8.3,         0,     81588,     62823,    677179,         0,     81588,         0,         0,         0,         0,         0,    114604,     81682,    951211,         0,    114604,    169000,    123536,   1402697,         0,    169000
        12,     30012,599.771853,      21.4,         0,     91446,     70421,   1956952,         0,     91446,         0,         0,         0,         0,         0,    127572,     90980,   2730044,         0,    127572,    172099,    125680,   3682918,         0,    172099
        13,     30013,278.359848,      14.4,         0,    101629,     78520,   1463460,         0,    101629,         0,         0,         0,         0,         0,    141808,    101454,   2042035,         0,    141808,    179485,    130866,   2584591,         0,    179485
        14,     30014,227.153493,      24.7,         0,     97750,     75458,   2414421,         0,     97750,         0,         0,         0,         0,         0,    136063,     97273,   3360754,         0,    136063,    174031,    126827,   4298577,         0,    174031
        15,     30015,3152.46340,       1.0,     321.3,     77296,     59364,     77296,  19073735,     59453,         0,         0,         0,         0,         0,    107403,     76376,    107403,  24539568,     76530,    141336,    102577,    141336,  32957832,    102769
        16,     30016,746.812178,      87.4,      66.9,     89079,     68908,   7785492,   4609976,     82560,         0,         0,         0,         0,         0,    123485,     88422,  10792576,   5915433,    112152,    172508,    125702,  15077173,   8409477,    157380
        17,     30017,407.588378,     254.5,         0,     90324,     69755,  22987346,         0,     90324,         0,         0,         0,         0,         0,    126538,     90437,  32203886,         0,    126538,    173679,    126750,  44201258,         0,    173679
        18,     30018,309.030427,         0,     829.7,     95149,     73542,         0,  61017809,     73542,         0,         0,         0,         0,         0,    132186,     94569,         0,  78463842,     94569,    178565,    130198,         0, 108025184,    130198
        19,     30019,196.205397,     207.4,      52.5,     84305,     65371,  17484952,   3431956,     81723,      1741,      1324,    361065,     69532,      1684,    116254,     83447,  24111092,   4380959,    111780,    173978,    126833,  36083104,   6658711,    167548
        20,     30020,173.846732,     195.6,     151.0,     78982,     61367,  15448899,   9266458,     73256,      2443,      1850,    477865,    279415,      2250,    108668,     78126,  21255371,  11797006,     98739,    169649,    123575,  33183361,  18659752,    154672
        21,     30021,128.632214,      82.4,     475.8,     91831,     71040,   7566835,  33801042,     75558,         0,         0,         0,         0,         0,    127428,     91263,  10500067,  43423106,     99121,    174116,    126931,  14347188,  60393736,    137183
        22,     30022,104.210697,      91.9,     121.7,     90273,     69846,   8296108,   8500205,     81031,         0,         0,         0,         0,         0,    125151,     89650,  11501345,  10910405,    109090,    180851,    131962,  16620181,  16059774,    158733
