TAZID,CO_TAZID,DevAcres,HH,Job,JobByAuto,HHByAuto,JobByAuto_wtByHH,HHByAuto_wtByJob,CompJobHHByAuto,JobByTran,HHByTran,JobByTran_wtByHH,HHByTran_wtByJob,CompJobHHByTran,JobByAuto_FF,HHByAuto_FF,JobByAuto_wtByHH_FF,HHByAuto_wtByJob_FF,CompJobHHByAuto_FF,JobByAuto_SL,HHByAuto_SL,JobByAuto_wtByHH_SL,HHByAuto_wtByJob_SL,CompJobHHByAuto_SL
         1,     30001,582.086695,         0,         0,     39608,     32855,         0,         0,         0,         0,         0,         0,         0,         0,     74074,     52301,         0,         0,         0,    129979,     93406,         0,         0,         0
         2,     30002,134.110399,      38.5,         0,     41068,     34068,   1581114,         0,     41068,         0,         0,         0,         0,         0,     76744,     54213,   2954632,         0,     76744,    121006,     86406,   4658717,         0,    121006
         3,     30003,636.842231,      18.5,         0,     52180,     42884,    965332,         0,     52180,         0,         0,         0,         0,         0,    100996,     70728,   1868417,         0,    100996,    134331,     96338,   2485128,         0,    134331
         4,     30004,371.455595,       5.3,         0,     48675,     39933,    257978,         0,     48675,         0,         0,         0,         0,         0,     94287,     65917,    499719,         0,     94287,    129232,     92629,    684932,         0,    129232
         5,     30005,1021.14860,      70.5,      10.1,     44134,     36623,   3111428,    369889,     43517,         0,         0,         0,         0,         0,     82387,     58254,   5808278,    588365,     80407,    133340,     95647,   9400470,    966039,    130247
         6,     30006,466.806807,       8.6,       4.4,     53350,     43870,    458810,    193026,     51056,         0,         0,         0,         0,         0,    103240,     72340,    887867,    318294,     95764,    141352,    101625,   1215627,    447149,    131739
         7,     30007,790.695572,      44.0,      63.8,     52514,     43164,   2310625,   2753847,     48073,         0,         0,         0,         0,         0,    101622,     71177,   4471352,   4541069,     87161,    141931,    102156,   6244964,   6517549,    123039
         8,     30008,1096.14708,      53.2,      44.7,     53442,     44251,   2843104,   1978000,     50281,         0,         0,         0,         0,         0,    100098,     70768,   5325239,   3163350,     90011,    151517,    109298,   8060714,   4885638,    136997
         9,     30009,393.372048,      37.1,      71.4,     62823,     51916,   2330719,   3706804,     56872,         0,         0,         0,         0,         0,    121550,     85537,   4509491,   6107313,    101901,    163111,    117662,   6051422,   8401034,    138314
        10,     30010,901.614282,      19.7,      52.6,     64137,     53034,   1263493,   2789572,     57199,         0,         0,         0,         0,         0,    123761,     87129,   2438101,   4582973,    100870,    159635,    114988,   3144805,   6048372,    131736
        11,     30011,1280.56028,       8.3,         0,     59542,     49123,    494196,         0,     59542,         0,         0,         0,         0,         0,    115197,     80948,    956135,         0,    115197,    170155,    123248,   1412283,         0,    170155
