TAZID,CO_TAZID,DevAcres,HH,Job,JobByAuto,HHByAuto,JobByAuto_wtByHH,HHByAuto_wtByJob,CompJobHHByAuto,JobByTran,HHByTran,JobByTran_wtByHH,HHByTran_wtByJob,CompJobHHByTran,JobByAuto_FF,HHByAuto_FF,JobByAuto_wtByHH_FF,HHByAuto_wtByJob_FF,CompJobHHByAuto_FF,JobByAuto_SL,HHByAuto_SL,JobByAuto_wtByHH_SL,HHByAuto_wtByJob_SL,CompJobHHByAuto_SL
         1,     30001,582.086695,         0,         0,     53063,     40813,         0,         0,         0,         0,         0,         0,         0,         0,     73529,     52400,         0,         0,         0,    129138,     93593,         0,         0,         0
         2,     30002,134.110399,      38.5,         0,     54954,     42293,   2115718,         0,     54954,         0,         0,         0,         0,         0,     76167,     54313,   2932432,         0,     76167,    120197,     86557,   4627598,         0,    120197
         3,     30003,636.842231,      18.5,         0,     70770,     54048,   1309250,         0,     70770,         0,         0,         0,         0,         0,    100195,     70938,   1853603,         0,    100195,    133332,     96409,   2466643,         0,    133332
         4,     30004,371.455595,       5.3,         0,     66093,     50390,    350294,         0,     66093,         0,         0,         0,         0,         0,     93548,     66120,    495805,         0,     93548,    128279,     92711,    679878,         0,    128279
         5,     30005,1021.14860,      70.5,      10.1,     58931,     45404,   4154664,    458578,     57822,         0,         0,         0,         0,         0,     81756,     58354,   5763810,    589375,     79836,    132442,     95821,   9337160,    967788,    129437
         6,     30006,466.806807,       8.6,       4.4,     72338,     55278,    622104,    243222,     68210,         0,         0,         0,         0,         0,    102420,     72555,    880815,    319243,     95194,    140295,    101705,   1206537,    447504,    130958
         7,     30007,790.695572,      44.0,      63.8,     71215,     54397,   3133475,   3470524,     63227,         0,         0,         0,         0,         0,    100814,     71387,   4435797,   4554502,     86837,    140883,    102236,   6198831,   6522645,    122527
         8,     30008,1096.14708,      53.2,      44.7,     71263,     54889,   3791185,   2453559,     65632,         0,         0,         0,         0,         0,     99300,     70884,   5282763,   3168521,     89527,    150438,    109423,   8003312,   4891217,    136332
         9,     30009,393.372048,      37.1,      71.4,     85140,     65354,   3158696,   4666261,     74345,         0,         0,         0,         0,         0,    120552,     85781,   4472475,   6124771,    101581,    161858,    117741,   6004921,   8406697,    137788
        10,     30010,901.614282,      19.7,      52.6,     86924,     66757,   1712406,   3511440,     74322,         0,         0,         0,         0,         0,    122735,     87374,   2417884,   4595875,    100639,    158375,    115043,   3119995,   6051242,    131298
