merged_point_id,segment_ids_with_directions,geometry,stop_xy,segment_id,direction,travelDirection
0,0006_141.0_W,POINT (-112.10262194838445 39.95964567951754),405820_4423860,0006_141.0,W,EB
1,0006_146.9_W,POINT (-112.01329098546296 39.95049093394101),413440_4422760,0006_146.9,W,EB
2,0006_149.9_W,POINT (-111.95608816151197 39.951988359916726),418340_4422860,0006_149.9,W,EB
3,0006_150.6_W,POINT (-111.9433173178264 39.952144527017),419420_4422880,0006_150.6,W,EB
3,MAG_6109_W,POINT (-111.9433173178264 39.952144527017),419420_4422880,MAG_6109,W,EB
4,0006_152.6_W,POINT (-111.90615444239661 39.95259931454903),422600_4422880,0006_152.6,W,EB
5,0006_152.9_W,POINT (-111.90022284943792 39.95288523203072),423100_4422920,0006_152.9,W,EB
5,1828_006.7_W,POINT (-111.90022284943792 39.95288523203072),423100_4422920,1828_006.7,W,EB
6,0006_155.8_W,POINT (-111.85242033699583 39.97099098504193),427200_4424880,0006_155.8,W,EB
6,2851_000.0_W,POINT (-111.85242033699583 39.97099098504193),427200_4424880,2851_000.0,W,EB
7,0006_155.9_W,POINT (-111.84977245389199 39.97308769709282),427440_4425120,0006_155.9,W,EB
7,0141_000.0_W,POINT (-111.84977245389199 39.97308769709282),427440_4425120,0141_000.0,W,EB
8,0006_157.3_W,POINT (-111.82822027027521 39.98225958525679),429280_4426120,0006_157.3,W,EB
9,0006_157.6_W,POINT (-111.82400624565214 39.983870546552005),429640_4426300,0006_157.6,W,EB
10,0006_158.5_W,POINT (-111.8081085711791 39.98276981843027),431000_4426160,0006_158.5,W,EB
10,2871_000.3_W,POINT (-111.8081085711791 39.98276981843027),431000_4426160,2871_000.3,W,EB
10,MAG_6435_W,POINT (-111.8081085711791 39.98276981843027),431000_4426160,MAG_6435,W,EB
11,0006_158.9_W,POINT (-111.80069410792522 39.97899072785302),431640_4425740,0006_158.9,W,EB
11,MAG_6430_W,POINT (-111.80069410792522 39.97899072785302),431640_4425740,MAG_6430,W,EB
12,0006_159.3_W,POINT (-111.79468529029366 39.97597373630867),432140_4425400,0006_159.3,W,EB
13,0006_159.6_W,POINT (-111.78950901019768 39.9756100297887),432580_4425340,0006_159.6,W,EB
14,0006_159.8_W,POINT (-111.78524740073104 39.975604741957405),432940_4425340,0006_159.8,W,EB
14,2854_000.0_W,POINT (-111.78524740073104 39.975604741957405),432940_4425340,2854_000.0,W,EB
15,0006_160.3_W,POINT (-111.7768551201841 39.975595251283295),433660_4425340,0006_160.3,W,EB
16,0015_244.8_W,POINT (-111.77216097756796 39.975585172580146),434060_4425340,0015_244.8,W,EB
16,0198_000.0_W,POINT (-111.77216097756796 39.975585172580146),434060_4425340,0198_000.0,W,EB
17,0006_173.4_W,POINT (-111.64921533535663 40.12802072930254),444680_4442160,0006_173.4,W,EB
17,0015_257.6_W,POINT (-111.64921533535663 40.12802072930254),444680_4442160,0015_257.6,W,EB
18,0006_173.7_W,POINT (-111.64359961985149 40.12321126533052),445160_4441640,0006_173.7,W,EB
18,2849_000.6_W,POINT (-111.64359961985149 40.12321126533052),445160_4441640,2849_000.6,W,EB
19,0006_174.0_W,POINT (-111.64001036836498 40.1204210882068),445460_4441320,0006_174.0,W,EB
19,2832_000.8_W,POINT (-111.64001036836498 40.1204210882068),445460_4441320,2832_000.8,W,EB
20,0006_174.4_W,POINT (-111.63561326037036 40.115115540150356),445840_4440720,0006_174.4,W,EB
21,0006_174.9_W,POINT (-111.6317566133681 40.109634249274045),446160_4440120,0006_174.9,W,EB
21,3062_001.2_W,POINT (-111.6317566133681 40.109634249274045),446160_4440120,3062_001.2,W,EB
22,0006_175.6_W,POINT (-111.62089247431125 40.10385749390834),447080_4439460,0006_175.6,W,EB
22,MAG_6105_W,POINT (-111.62089247431125 40.10385749390834),447080_4439460,MAG_6105,W,EB
23,0006_176.1_W,POINT (-111.61235818232892 40.09928375256734),447800_4438960,0006_176.1,W,EB
23,3035_000.0_W,POINT (-111.61235818232892 40.09928375256734),447800_4438960,3035_000.0,W,EB
23,3035_000.3_W,POINT (-111.61235818232892 40.09928375256734),447800_4438960,3035_000.3,W,EB
24,0006_177.0_W,POINT (-111.59841359363686 40.091818393857714),448980_4438120,0006_177.0,W,EB
24,MAG_6196_W,POINT (-111.59841359363686 40.091818393857714),448980_4438120,MAG_6196,W,EB
25,0006_177.2_W,POINT (-111.59545800069283 40.09016237395784),449240_4437940,0006_177.2,W,EB
